dataset,source_dataset,source_mode,method,k_shot,corruption,alpha,selected_p_threshold_mean,selected_p_threshold_std,source_validation_far_mean,source_validation_far_std,false_alarm_rate_mean,false_alarm_rate_std,power_mean,power_std,alarm_precision_mean,alarm_precision_std,coverage_gap_mean,coverage_gap_std,auroc_mean,auroc_std,ap_mean,ap_std
visa,none,clean_source,target_only,8,blur,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8413271164021163,0.09109746442762999,0.8047253884045055,0.10349133551100817
visa,none,clean_source,target_only,8,blur,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8413271164021163,0.09109746442762999,0.8047253884045055,0.10349133551100817
visa,none,clean_source,target_only,8,blur,0.2,0.2,0.0,,,0.09572222222222222,0.09649818098198087,0.5509920634920635,0.3297356558891476,0.8327020555482346,0.21582373736742422,-0.10427777777777779,0.09649818098198087,0.8413271164021163,0.09109746442762999,0.8047253884045055,0.10349133551100817
visa,none,clean_source,target_only,8,brightness_contrast,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8393739417989418,0.09111065684346312,0.8017629217152307,0.10345844210259367
visa,none,clean_source,target_only,8,brightness_contrast,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8393739417989418,0.09111065684346312,0.8017629217152307,0.10345844210259367
visa,none,clean_source,target_only,8,brightness_contrast,0.2,0.2,0.0,,,0.09944444444444445,0.1050444559582183,0.5417460317460318,0.3271889793492315,0.8311404453753931,0.21549863379713632,-0.10055555555555556,0.10504445595821832,0.8393739417989418,0.09111065684346312,0.8017629217152307,0.10345844210259367
visa,none,clean_source,target_only,8,clean,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8451632275132275,0.08948279086596883,0.8086796408784427,0.10236999440263742
visa,none,clean_source,target_only,8,clean,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8451632275132275,0.08948279086596883,0.8086796408784427,0.10236999440263742
visa,none,clean_source,target_only,8,clean,0.2,0.2,0.0,,,0.09216666666666667,0.09395440052776173,0.5476190476190476,0.3283344760925015,0.836843545780056,0.21575608006732405,-0.10783333333333335,0.09395440052776173,0.8451632275132275,0.08948279086596883,0.8086796408784427,0.10236999440263742
visa,none,clean_source,target_only,8,gaussian_noise,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8433935185185185,0.10164916892278286,0.8084793874453126,0.11463357341393787
visa,none,clean_source,target_only,8,gaussian_noise,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8433935185185185,0.10164916892278286,0.8084793874453126,0.11463357341393787
visa,none,clean_source,target_only,8,gaussian_noise,0.2,0.2,0.0,,,0.08105555555555556,0.0871812011446244,0.5233333333333333,0.32065470469067336,0.8358231027896779,0.22086797174032755,-0.11894444444444446,0.0871812011446244,0.8433935185185185,0.10164916892278286,0.8084793874453126,0.11463357341393787
visa,none,clean_source,target_only,8,jpeg,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8349392857142858,0.09285893870406665,0.800404731606318,0.10115331039003041
visa,none,clean_source,target_only,8,jpeg,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8349392857142858,0.09285893870406665,0.800404731606318,0.10115331039003041
visa,none,clean_source,target_only,8,jpeg,0.2,0.2,0.0,,,0.10711111111111112,0.1348856901366521,0.5444047619047618,0.3385300052759231,0.8350353085838916,0.22356444366334755,-0.0928888888888889,0.1348856901366521,0.8349392857142858,0.09285893870406665,0.800404731606318,0.10115331039003041
visa,none,matched_condition,target_only,1,blur,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.5043055555555556,0.018633373423712667,0.5301387485836554,0.03928951045520337
visa,none,matched_condition,target_only,1,blur,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.5043055555555556,0.018633373423712667,0.5301387485836554,0.03928951045520337
visa,none,matched_condition,target_only,1,blur,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.5043055555555556,0.018633373423712667,0.5301387485836554,0.03928951045520337
visa,none,matched_condition,target_only,1,brightness_contrast,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.5048611111111111,0.020313669445789335,0.5304645184158369,0.03938648840327027
visa,none,matched_condition,target_only,1,brightness_contrast,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.5048611111111111,0.020313669445789335,0.5304645184158369,0.03938648840327027
visa,none,matched_condition,target_only,1,brightness_contrast,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.5048611111111111,0.020313669445789335,0.5304645184158369,0.03938648840327027
visa,none,matched_condition,target_only,1,clean,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.5045833333333333,0.020146882951349268,0.5303171229092418,0.03946213297140594
visa,none,matched_condition,target_only,1,clean,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.5045833333333333,0.020146882951349268,0.5303171229092418,0.03946213297140594
visa,none,matched_condition,target_only,1,clean,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.5045833333333333,0.020146882951349268,0.5303171229092418,0.03946213297140594
visa,none,matched_condition,target_only,1,gaussian_noise,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.5051388888888889,0.019412975611602473,0.5305755524685459,0.03907663549991403
visa,none,matched_condition,target_only,1,gaussian_noise,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.5051388888888889,0.019412975611602473,0.5305755524685459,0.03907663549991403
visa,none,matched_condition,target_only,1,gaussian_noise,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.5051388888888889,0.019412975611602473,0.5305755524685459,0.03907663549991403
visa,none,matched_condition,target_only,1,jpeg,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.5040277777777777,0.01894657884602421,0.5300113590404906,0.03945251234258364
visa,none,matched_condition,target_only,1,jpeg,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.5040277777777777,0.01894657884602421,0.5300113590404906,0.03945251234258364
visa,none,matched_condition,target_only,1,jpeg,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.5040277777777777,0.01894657884602421,0.5300113590404906,0.03945251234258364
visa,none,matched_condition,target_only,2,blur,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.7489327380952381,0.11292993081299979,0.7200325674409352,0.11278367743997657
visa,none,matched_condition,target_only,2,blur,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.7489327380952381,0.11292993081299979,0.7200325674409352,0.11278367743997657
visa,none,matched_condition,target_only,2,blur,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.7489327380952381,0.11292993081299979,0.7200325674409352,0.11278367743997657
visa,none,matched_condition,target_only,2,brightness_contrast,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.743320171957672,0.11474389269812844,0.7156224976383299,0.11346658824054767
visa,none,matched_condition,target_only,2,brightness_contrast,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.743320171957672,0.11474389269812844,0.7156224976383299,0.11346658824054767
visa,none,matched_condition,target_only,2,brightness_contrast,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.743320171957672,0.11474389269812844,0.7156224976383299,0.11346658824054767
visa,none,matched_condition,target_only,2,clean,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.7536089947089947,0.11526682131866582,0.7243840025133007,0.11465282749742278
visa,none,matched_condition,target_only,2,clean,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.7536089947089947,0.11526682131866582,0.7243840025133007,0.11465282749742278
visa,none,matched_condition,target_only,2,clean,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.7536089947089947,0.11526682131866582,0.7243840025133007,0.11465282749742278
visa,none,matched_condition,target_only,2,gaussian_noise,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.7491843253968254,0.12137289720058683,0.7230749448709551,0.12144239318531005
visa,none,matched_condition,target_only,2,gaussian_noise,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.7491843253968254,0.12137289720058683,0.7230749448709551,0.12144239318531005
visa,none,matched_condition,target_only,2,gaussian_noise,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.7491843253968254,0.12137289720058683,0.7230749448709551,0.12144239318531005
visa,none,matched_condition,target_only,2,jpeg,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.7445,0.11536894658775756,0.7175032523538383,0.11219592184904037
visa,none,matched_condition,target_only,2,jpeg,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.7445,0.11536894658775756,0.7175032523538383,0.11219592184904037
visa,none,matched_condition,target_only,2,jpeg,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,,,-0.2,0.0,0.7445,0.11536894658775756,0.7175032523538383,0.11219592184904037
visa,none,matched_condition,target_only,4,blur,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8068156084656085,0.10520161828521098,0.7675639588211439,0.11623314995354381
visa,none,matched_condition,target_only,4,blur,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8068156084656085,0.10520161828521098,0.7675639588211439,0.11623314995354381
visa,none,matched_condition,target_only,4,blur,0.2,0.2,0.0,,,0.14633333333333332,0.15704030454144824,0.5925396825396825,0.34403647349833794,0.803420770395655,0.21410623338013327,-0.053666666666666675,0.15704030454144824,0.8068156084656085,0.10520161828521098,0.7675639588211439,0.11623314995354381
visa,none,matched_condition,target_only,4,brightness_contrast,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8026839285714286,0.10321318716473313,0.7640461645457161,0.11289015278495443
visa,none,matched_condition,target_only,4,brightness_contrast,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8026839285714286,0.10321318716473313,0.7640461645457161,0.11289015278495443
visa,none,matched_condition,target_only,4,brightness_contrast,0.2,0.2,0.0,,,0.14783333333333332,0.15987615852287088,0.5816269841269841,0.3440427922242872,0.8001998015235966,0.2333924816132693,-0.05216666666666668,0.15987615852287088,0.8026839285714286,0.10321318716473313,0.7640461645457161,0.11289015278495443
visa,none,matched_condition,target_only,4,clean,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8083857142857143,0.10511195310352943,0.7703083794464504,0.1140980774254366
visa,none,matched_condition,target_only,4,clean,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8083857142857143,0.10511195310352943,0.7703083794464504,0.1140980774254366
visa,none,matched_condition,target_only,4,clean,0.2,0.2,0.0,,,0.1445,0.15446258818489317,0.5893253968253968,0.3439504504787564,0.8012604276994773,0.23310563454557076,-0.055500000000000015,0.15446258818489317,0.8083857142857143,0.10511195310352943,0.7703083794464504,0.1140980774254366
visa,none,matched_condition,target_only,4,gaussian_noise,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8066507936507937,0.11359357229810085,0.7703916796074444,0.12223649699194773
visa,none,matched_condition,target_only,4,gaussian_noise,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8066507936507937,0.11359357229810085,0.7703916796074444,0.12223649699194773
visa,none,matched_condition,target_only,4,gaussian_noise,0.2,0.2,0.0,,,0.13483333333333333,0.15985566111875346,0.5607936507936507,0.3384859076630978,0.7991546178976686,0.23944273673725813,-0.06516666666666668,0.15985566111875343,0.8066507936507937,0.11359357229810085,0.7703916796074444,0.12223649699194773
visa,none,matched_condition,target_only,4,jpeg,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8037478835978836,0.10742294307250479,0.7671268066470913,0.11295632678149556
visa,none,matched_condition,target_only,4,jpeg,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8037478835978836,0.10742294307250479,0.7671268066470913,0.11295632678149556
visa,none,matched_condition,target_only,4,jpeg,0.2,0.2,0.0,,,0.14950000000000002,0.17845732001213446,0.5878968253968254,0.34968162392103075,0.8167270868001636,0.19579890500276678,-0.05050000000000001,0.17845732001213446,0.8037478835978836,0.10742294307250479,0.7671268066470913,0.11295632678149556
visa,none,matched_condition,target_only,8,blur,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8413271164021163,0.09109746442762999,0.8047253884045055,0.10349133551100817
visa,none,matched_condition,target_only,8,blur,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8413271164021163,0.09109746442762999,0.8047253884045055,0.10349133551100817
visa,none,matched_condition,target_only,8,blur,0.2,0.2,0.0,,,0.09572222222222222,0.09649818098198087,0.5509920634920635,0.3297356558891476,0.8327020555482346,0.21582373736742422,-0.10427777777777779,0.09649818098198087,0.8413271164021163,0.09109746442762999,0.8047253884045055,0.10349133551100817
visa,none,matched_condition,target_only,8,brightness_contrast,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8393739417989418,0.09111065684346312,0.8017629217152307,0.10345844210259367
visa,none,matched_condition,target_only,8,brightness_contrast,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8393739417989418,0.09111065684346312,0.8017629217152307,0.10345844210259367
visa,none,matched_condition,target_only,8,brightness_contrast,0.2,0.2,0.0,,,0.09944444444444445,0.1050444559582183,0.5417460317460318,0.3271889793492315,0.8311404453753931,0.21549863379713632,-0.10055555555555556,0.10504445595821832,0.8393739417989418,0.09111065684346312,0.8017629217152307,0.10345844210259367
visa,none,matched_condition,target_only,8,clean,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8451632275132275,0.08948279086596883,0.8086796408784427,0.10236999440263742
visa,none,matched_condition,target_only,8,clean,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8451632275132275,0.08948279086596883,0.8086796408784427,0.10236999440263742
visa,none,matched_condition,target_only,8,clean,0.2,0.2,0.0,,,0.09216666666666667,0.09395440052776173,0.5476190476190476,0.3283344760925015,0.836843545780056,0.21575608006732405,-0.10783333333333335,0.09395440052776173,0.8451632275132275,0.08948279086596883,0.8086796408784427,0.10236999440263742
visa,none,matched_condition,target_only,8,gaussian_noise,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8433935185185185,0.10164916892278286,0.8084793874453126,0.11463357341393787
visa,none,matched_condition,target_only,8,gaussian_noise,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8433935185185185,0.10164916892278286,0.8084793874453126,0.11463357341393787
visa,none,matched_condition,target_only,8,gaussian_noise,0.2,0.2,0.0,,,0.08105555555555556,0.0871812011446244,0.5233333333333333,0.32065470469067336,0.8358231027896779,0.22086797174032755,-0.11894444444444446,0.0871812011446244,0.8433935185185185,0.10164916892278286,0.8084793874453126,0.11463357341393787
visa,none,matched_condition,target_only,8,jpeg,0.05,0.05,0.0,,,0.0,0.0,0.0,0.0,,,-0.05,0.0,0.8349392857142858,0.09285893870406665,0.800404731606318,0.10115331039003041
visa,none,matched_condition,target_only,8,jpeg,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,,,-0.1,0.0,0.8349392857142858,0.09285893870406665,0.800404731606318,0.10115331039003041
visa,none,matched_condition,target_only,8,jpeg,0.2,0.2,0.0,,,0.10711111111111112,0.1348856901366521,0.5444047619047618,0.3385300052759231,0.8350353085838916,0.22356444366334755,-0.0928888888888889,0.1348856901366521,0.8349392857142858,0.09285893870406665,0.800404731606318,0.10115331039003041
